architecture,log,setting,freezed_layers,dls,mae,mae_denormalised,nb_worst_situs
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '1']",0.0831,2.2636,944.5040,2612
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,['0'],0.0862,2.2738,948.7739,2584
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '1', '2', '3']",0.0307,2.1942,915.5622,2817
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '1', '2']",0.0758,1.8059,753.5303,2631
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['1', '2', '3']",0.0307,0.4352,181.5971,2817
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '2', '3']",0.0437,5.4853,2288.7869,2781
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '1', '3']",0.0313,2.8007,1168.6019,2817
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '1']",0.0307,3.0372,1267.3097,2817
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,['0'],0.0307,1.5063,628.5306,2817
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.0722,3.8692,1614.4840,2901
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP_filtered,['0'],0.1253,0.1785,74.4924,2686
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,base,,0.0879,0.8125,339.0417,2600
