architecture,log,setting,freezed_layers,dls,mae,mae_denormalised,nb_worst_situs
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,['0'],0.5709,0.0442,99.6822,0
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.7015,0.0521,117.5060,0
rnn,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP_filtered,['0'],0.7131,0.0618,139.2390,0
rnn,BPI_Challenge_2013_incidents.xes.gz,BPIC15,"['0', '1', '2']",0.2604,2.4387,1761.3357,8772
rnn,BPI_Challenge_2013_incidents.xes.gz,BPIC15,['0'],0.2610,1.6363,1181.8078,8750
rnn,BPI_Challenge_2013_incidents.xes.gz,base,,0.2600,0.3158,228.1152,8496
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1', '2', '3']",0.2603,0.1100,79.4819,8480
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1', '2']",0.2608,1.2027,868.6197,8456
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['1', '2', '3']",0.4880,0.0246,17.7613,0
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '2', '3']",0.2608,2.1768,1572.2026,8455
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1', '3']",0.2605,0.5832,421.2483,8471
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1']",0.2609,1.5923,1150.0322,8448
rnn,BPI_Challenge_2013_incidents.xes.gz,helpdesk,['0'],0.2610,1.3417,969.0523,8461
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1', '2', '3']",0.3086,0.4124,297.8369,6975
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1', '2']",0.2619,4.0357,2914.8295,8411
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['1', '2', '3']",0.2601,0.5710,412.4298,8489
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '2', '3']",0.2601,1.8756,1354.6349,8495
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1', '3']",0.2610,1.1265,813.5936,8457
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1']",0.2601,0.7632,551.2482,8496
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP,['0'],0.2602,1.7126,1236.9015,8482
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.2637,1.7489,1263.1254,9311
rnn,BPI_Challenge_2013_incidents.xes.gz,RTFMP_filtered,['0'],0.2640,1.8241,1317.4458,9301
rnn,BPI_Challenge_2013_open_problems.xes.gz,BPIC15,"['0', '1', '2']",0.4670,0.0427,47.8247,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,BPIC15,['0'],0.3846,0.2172,243.4917,111
rnn,BPI_Challenge_2013_open_problems.xes.gz,base,,0.4435,0.0329,36.9043,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '1', '2', '3']",0.4689,0.0404,45.2497,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '1', '2']",0.4678,0.0376,42.1684,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['1', '2', '3']",0.4867,0.0436,48.8796,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '2', '3']",0.4366,0.0385,43.1897,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '1', '3']",0.4005,0.2085,233.7702,119
rnn,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '1']",0.4939,0.0368,41.2559,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,['0'],0.4660,0.0441,49.3892,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '1', '2', '3']",0.4442,0.0464,52.0521,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '1', '2']",0.3392,0.3891,436.1780,181
rnn,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['1', '2', '3']",0.3376,0.3358,376.4075,178
rnn,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '2', '3']",0.4740,0.0490,54.9519,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '1', '3']",0.4578,0.0375,42.0102,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '1']",0.4358,0.1847,207.0711,31
rnn,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,['0'],0.4487,0.0357,39.9715,0
rnn,BPI_Challenge_2013_open_problems.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.4077,0.3668,411.1964,118
rnn,BPI_Challenge_2013_open_problems.xes.gz,RTFMP_filtered,['0'],0.5154,0.0494,55.3373,0
rnn,helpdesk.csv,BPIC15,"['0', '1', '2']",0.8367,0.0780,3.9104,0
rnn,helpdesk.csv,BPIC15,['0'],0.8566,0.0758,3.7994,0
rnn,helpdesk.csv,base,,0.8476,0.0819,4.1042,0
rnn,helpdesk.csv,RTFMP,"['0', '1', '2', '3']",0.7501,0.1066,5.3444,292
rnn,helpdesk.csv,RTFMP,"['0', '1', '2']",0.8494,0.0807,4.0471,0
rnn,helpdesk.csv,RTFMP,"['1', '2', '3']",0.8473,0.0822,4.1192,0
rnn,helpdesk.csv,RTFMP,"['0', '2', '3']",0.8498,0.0804,4.0315,0
rnn,helpdesk.csv,RTFMP,"['0', '1', '3']",0.8463,0.0812,4.0726,0
rnn,helpdesk.csv,RTFMP,"['0', '1']",0.8486,0.0825,4.1336,0
rnn,helpdesk.csv,RTFMP,['0'],0.8493,0.0801,4.0135,0
rnn,helpdesk.csv,RTFMP_filtered,"['0', '1', '2']",0.8620,0.0786,3.9398,0
rnn,helpdesk.csv,RTFMP_filtered,['0'],0.8622,0.0771,3.8664,0
rnn,Road_Traffic_Fine_Management_Process.xes.gz,BPIC15,"['0', '1', '2']",0.6974,0.0569,239.9939,0
rnn,Road_Traffic_Fine_Management_Process.xes.gz,BPIC15,['0'],0.6974,0.0551,232.4893,0
rnn,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '1', '2', '3']",0.6088,0.4370,1844.4015,20764
rnn,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '1', '2']",0.4950,0.1774,748.8624,38453
rnn,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['1', '2', '3']",0.6977,0.0669,282.4014,0
rnn,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '2', '3']",0.6978,0.0488,206.1083,0
rnn,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '1', '3']",0.3794,0.3421,1444.1986,52778
rnn,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '1']",0.3659,0.2634,1111.8468,53402
